Govt Loan #,Notional Gtd Balance,Invested,Gross Margin,Strip Rate,Multiple,Price,Note Date,Note Maturity Date,Business Name,City,State,Zip,NAICS
1337789106,697461.47,68999.86,0.025,0.03805,2.6,0.09893,44663,48499,Flourish Restaurants LLC dba Foundation Social Eatery,Marietta,GA,30066,722511
1458569106,2128105.39,194163.02,0.0275,0.04055,2.25,0.0912375,44516,48534,HUNDRED MILE BREWING COMPANY,Tempe,AZ,85281,312120
3823949100,518858.87,46096.46,0.025,0.03315,2.68,0.088842,44663,48499,Flourish Restaurants LLC dba Foundation Social Eatery,Marietta,GA,30066,722511
3919049106,468758.24,44786.1,0.0275,0.03565,2.68,0.095542,44739,48575,FARA BENDER DMD PA            ,0,FL, 3346,621210
4191869106,1707838.83,102832.95,0.015,0.02255,2.67016962,0.060212325,44788,48441,K.B. SERVICE COMPANY,Little Canada,MN,55117,238220
4205619103,548250,52380.9,0.0275,0.03565,2.68,0.095542,44875,48648,Bottles & Barrels LLC,Omaha,NE,68022,445320
4239699103,659887.27,63046.95,0.0275,0.03565,2.68,0.095542,44802,48455,"LEN SPARK, LLC",Tinley Park,IL,60487,561720
4260709109,1239177.38,83190.93,0.0175,0.02505,2.68,0.067134,44802,48455,AZ PLUMBER GUY LLC,Peoria,AZ,85381,238220
4270879107,492219.86,43729.8,0.025,0.03315,2.68,0.088842,44813,48466,"Oasis Pharmacy Services, LLC",West Columbia ,SC,29169,456110
4296599104,580499.99,54945.51,0.0275,0.03565,2.655036388,0.094652047,44824,48658,JP Reinicke Inc ,Rapid City ,SD ,57701,722515
4323999102,1554644.42,102042.76,0.0175,0.02505,2.620254118,0.065637366,44917,48570,MTN Inc,Englewood,CO,80112,238990
4349929101,991722.15,93156.43,0.0275,0.03505,2.68,0.093934,44865,48518,YDM SOLUTIONS GROUP CORP.,Fredericksburg,VA,22406,492110
4351079105,1378372.13,92535.63,0.0175,0.02505,2.68,0.067134,44902,48555,Assured Delivery Inc.,San Tan Valley,AZ,85140,484110
4376399103,877500,64789.34,0.02,0.02755,2.68,0.073834,44854,48507,Hippo Properties LLC,King of Prussia,PA,19406,236210
4386859103,961516.82,90319.12,0.0275,0.03505,2.68,0.093934,44869,48522,SUNNY COAST EXPRESS CORP.,Pompano Beach,FL,33069,492110
4502929109,856744.19,68997.04,0.0225,0.03005,2.68,0.080534,44883,48536,"Early Bird Lewis Center, LLC",Delaware,OH,43015,624410
4581829100,1057516.02,99336.71,0.0275,0.03505,2.68,0.093934,44960,48613,MILL RIVER LUMBER HOLDINGS LLC,North Clarendon,VT,5759,423310
4591949105,534232.39,32285.8,0.015,0.02255,2.68,0.060434,44900,48553,"Oande, Inc dba Holiday Liquor",Highland Village,TX,75077,445310
4651349105,1106071.9,96807.39,0.025,0.03255,2.688897067,0.0875236,44922,48575,Advanced Community Services,Lehi,UT,84043,531311
4712739109,1113632.79,102291.92,0.0275,0.03505,2.620663805,0.091854266,44957,48610,"BESTWAY TRANSFER & STORAGE, INC.",Milwaukee,WI,53215,484121
4714089108,684871.7,69007.41,0.03,0.03755,2.683345445,0.100759621,44957,48610,Barry Bray Construction Company; William Frank McCurdy,Salem,OR,97302,238110
4724959102,547640.68,18601.45,0.0075,0.01305,2.602798884,0.033966525,44932,48585,"Blaine Chiropractic Center, P.A.",Blaine,MN,55434,621310
4762469109,502188.73,47172.6,0.0275,0.03505,2.68,0.093934,44956,48609,Funky Fork LLC,Dallas,TX,75243,722513
4835949102,442500,41565.8,0.0275,0.03505,2.68,0.093934,44986,48639,"JUNZE GAO INSURANCE, INC.",Huntington Beach,CA,92647,524210
4849569107,459000,43115.71,0.0275,0.03505,2.68,0.093934,44987,48640,South Bay Cookies LLC,Dorchester,MA,2125,445291
4868029104,1524750,128965.71,0.025,0.03255,2.598511377,0.084581545,44984,48638,GOVERNMENT SOLUTIONS TEAM LLC,Lebanon,TN,37087,812990
4916829103,1216500,114387.31,0.0275,0.03505,2.682734664,0.09402985,45007,48660,Excel Online -E Learning Uintah,Lindon,UT,84042,54161
4346019104,3661228.83,22567.81,0.0225,0.0023,2.68,0.006164,44845,48863,Four Star Holdings,Port Orange,FL,32127,531210
4024499105,671250,719.58,0.02,0.0004,2.68,0.001072,44994,48831,Leora - HS COS South LLC,Colorado Springs,CO,80906,812199
3382359104,242250,6687.07,0.025,0.0103,2.68,0.027604,44643,48783,Nova Dance & Wellness Academy Inc.,Jacksonville Beach,FL,32250,611610
4869959103,2734979.78,53507.14,0.0275,0.0073,2.68,0.019564,44985,48638,Butcher & Farmer Market LLC dba Butcher & Farmer Market,Buckeye,AZ,85326,445110
4793309110,790500,10168.99,0.025,0.0048,2.68,0.012864,44999,48652,"AE Fritz, Inc. dba Lovitt Blind & Drapery Cleaning ",0,IL,60515,811490
4663959108,126870.09,4352.15,0.0275,0.0128,2.68,0.034304,45006,48659,Adams JK Enterprise LLC,New Port Richey,FL,34654,624120
4985429105,1961625,38377.23,0.0275,0.0073,2.68,0.019564,45044,48697,"Lanter Distributing, LLC",Madison,IL,62060,541614
4990629100,1380000,36244.32,0.03,0.0098,2.68,0.026264,45037,48690,"DMZ Services, LLC",Kenmore ,NY,14217,561311
4451839105,540750,10579.23,0.0275,0.0073,2.68,0.019564,45040,48693,"Olivia's Cookies, LLC",Levittown,NY,11756,722513
4885789100,2077500,26724.96,0.025,0.0048,2.68,0.012864,45014,48667,"LP Agency, LLC",Fayetteville,AR,72703,524210
3250489106,219626.98,7534.08,0.0275,0.0128,2.68,0.034304,44603,48649,New Horizon Hospitality LLC dba Baymont Inns & Suite,Ft. Wright,KY,41011,721110
